,Suzhou,Yangzhou,Anqing,Changzhou,Chizhou,Chuzhou,Hangzhou,Hefei,Huzhou,Jiaxing,Jinhua,Maanshan,Nanjing,Nantong,Ningbo,Shaoxing,Tai1zhou,Tai4zhou,Tongling,Wuxi,Wuhu,Xuancheng,Yancheng,Zhenjiang,Zhoushan,Shanghai
28,3018503,1282353,1910473,327049,234819,2120445,1200974,2244150,659757,1172154,434016,644630,977822,5493604,1212702,429896 ,78589,4526200,335041,238728,1249565,653502,3501876,1410050,1827469,2964900
1,2526723,420252,407357,575556,8720,448515,1691614,767218,430372,959099,503119,797232,1214727,547763,576447,106875 ,37041,501100,29059,680285,349109,133588,322515,232385,19510,6434600
2,629645,160888,322348,83035,86933,589279,1919067,369181,421596,203215,86373,68613,444708,161357,278062,688036 ,43950,595800,45047,512635,95453,221659,408300,75607,9881,987300
29,12921,0,0,0,0,439314,3419285,836727,0,0,0,0,2211717,144730,1850572,0 ,0,0,0,0,920708,0,0,0,0,9261000
3,13125489,1766021,2041001,3653735,68035,515179,7422512,382003,4239385,11315877,3518385,72132,332451,12436739,3588073,10870088 ,152888,2020000,265348,7487067,405264,357680,4172966,557714,67981,1813500
4,4125062,1102132,2689341,1802850,335278,250384,2176298,268678,674886,3989722,1945207,336237,2267527,4119022,6041042,2880204 ,12218,752600,266019,6634153,446714,117614,1379419,708248,15107,3137200
5,428009,1553669,728882,345757,11335,244016,1508766,220885,125933,2491393,336604,9486,254851,695676,118278,163467 ,186803,249700,11845,44930,541147,170182,379316,105099,6140,1709200
6,488979,313868,755741,963987,64778,378708,189435,35828,1869389,1240944,201273,41033,90315,149591,75559,52956 ,26483,309600,26659,191045,644572,323762,171363,703077,0,487200
7,909803,102066,253577,136756,29136,186377,1414023,510278,2761204,2190743,642304,65032,216066,601360,1055254,523596 ,227479,302400,63538,264865,155351,107838,106021,42912,0,3272300
8,7133142,526677,632567,374189,23650,231316,4094855,266191,594632,4215895,968023,879039,363338,732372,2245279,714890 ,138295,326400,20482,804936,313912,86946,1082916,1779337,8771,2351400
