,Suzhou,Yangzhou,Anqing,Changzhou,Chizhou,Chuzhou,Hangzhou,Hefei,Huzhou,Jiaxing,Jinhua,Maanshan,Nanjing,Nantong,Ningbo,Shaoxing,Tai1zhou,Tai4zhou,Tongling,Wuxi,Wuhu,Xuancheng,Yancheng,Zhenjiang,Zhoushan,Shanghai
"Processing and preserving of meat, fish, crustaceans and molluscs, fruit and vegetables",5178167,1095280,649413,560551,289080,1521519,1505186,2371765,959473,1817346,683251,886511,1513087,2071986,1392383,570752,173853,6338800,76132,21643,2203576,1013429,2995925,1808309,1997250,3524200
Food Production,2320801,259841,142130,426366,32326,605350,2410496,1151059,533426,1385207,621520,1119140,1461414,353621,709370,134182,42183,1410500,13701,54820,236429,317222,383129,380295,22407,7984600
"Wine, Beverage and Refined Tea Manufacturing ",912469,251540,209900,114617,36833,741762,1955900,426769,430093,416576,108986,75407,577207,102301,333698,672529,3378,257400,9144,60999,52471,138563,339054,115963,6012,1047100
Manufacture of tobacco products,0,0,0,0,0,610444,3850997,1227626,0,0,0,0,3711501,205102,0,0,0,0,0,0,1334316,0,0,0,0,10511600
Textile Industry,13356396,1094945,1298898,3590733,245342,510261,6690773,273261,4258566,11238722,4434894,53451,564656,4613881,3510122,12471767,295412,1091000,256529,1254595,649306,761780,3062428,391257,53002,1693900
Garments and Apparel Industry ,3870652,764698,466301,1587825,139126,106462,2291143,238841,703250,3640884,2708209,194142,1752337,968038,8023280,2460116,13206,319700,82784,5424808,339734,87194,568818,397481,9549,2086900
"Leather, Fur, Wool and Shoes Products",313399,823197,419533,76774,7948,196827,1175357,93690,64468,1513855,329041,26559,48535,219947,198436,90303,377228,107200,17240,40104,338694,495686,113540,85262,0,1021200
"Wood Processing, Wood, Bamboo, Rattan and Coir Products Straw Products ",489516,242512,78058,1030719,56650,246012,224475,61362,1685936,897260,300417,33950,90716,155004,126808,78358,79480,357600,7709,295426,296249,159865,184272,560019,0,391500
Furniture Manufacturing,886798,180193,35157,287561,4528,276528,1379303,984532,3230607,1576837,858832,17088,353278,443803,1491596,768003,431457,231900,4854,557226,27939,158063,62076,50849,1188,2901700
Papermaking and Paper Products,6314906,452883,387307,774430,24518,249945,2477504,355743,774089,3650621,1343464,961392,143582,669686,2104405,674045,321439,258700,3772,780840,411402,95286,2033254,1800208,74617,2194100
Printing and Record Duplicating,3556645,210440,403946,503794,51579,331145,898003,619739,293885,1319224,586463,108240,708845,188255,1234726,721474,122798,203400,21358,1972304,248143,224773,140820,468526,3232,1782300
"Stationary,Educational, Industrial arts, Sports and Entertainment Products ",2589606,1442558,61211,1677276,81071,478090,1503145,121858,843610,929916,2038989,132133,603573,1568990,5729087,1698459,202706,1317300,17855,665855,111450,137802,992832,177056,6383,5453600
"Oil, Coal and Other Fuel Processing Industries",1230723,428855,4504352,130122,0,35123,211476,10535,236941,351964,29734,474206,11904272,14987,18797717,2400,198,3500800,1006457,1284543,65559,7277,24388,628625,24749160,14515300
Raw Chemical Materials and Chemical Products,21516492,4592604,1985459,6818739,1621455,4856379,9567019,3966280,305200,17255776,2028763,2046216,19487327,7253745,30659919,8505457,617071,8352000,1858988,11592376,1412450,2494024,2484254,6123152,33158,33092200
Medical and Pharmaceutical Products,6717167,968880,427820,3496744,78709,189434,10109389,1104574,1881404,534989,1575222,489219,4365133,2095848,1025043,4165414,2546870,3996800,152583,3839090,462279,323049,804939,309123,21310,11513700
Chemical Fiber Manufacturing,9261892,2489664,75295,397534,5254,193913,8385356,155825,4298246,9750883,737763,0,269382,1767447,1911059,6194117,64724,116500,6832,5143308,18473,54012,998288,148182,27921,184000
Rubber and Plastic Products,16609485,1031799,1510315,3632405,88665,1678716,6752797,4033617,1741656,4818928,2434950,382015,2119178,1662842,6522937,2620683,1940288,1605300,218763,8617066,1033502,2153445,1248677,1044773,423553,9447500
Nonmetal Mineral Products,8257088,2013033,1554280,6241467,2100314,3883608,7119030,4093830,6187078,7391241,3011099,1746352,4097919,4403699,4473009,3113207,279654,2058400,1489048,5310045,4447960,2009199,3803919,2837896,11867,7732400
Smelting and Pressing of Ferrous Metals,28642626,4193301,17693,12954179,1940167,337899,1053516,1176262,2138919,3065793,1215793,12830633,14603727,870076,4417401,1013465,64568,1588900,1570158,18577936,3146226,1300701,2939699,2397563,0,15097800
Smelting and Pressing of Nonferrous Metals,11278945,4924648,302634,6388690,2487500,2163804,5050005,466208,2196978,728028,2636060,427542,3467700,587336,9860977,7542382,462124,1275600,16620307,14428917,3387046,1091483,3886565,3877168,2888,4737400
Metal Products,15862866,3174407,463558,8679059,283208,4073351,6902895,5631890,2738980,6467739,7701683,1642574,3019999,5307261,9554176,2023574,738210,6345100,304026,18716219,1199850,1964929,8726344,4642958,581417,10267300
General Equipment Manufacturing,36966963,2770633,631030,11231286,191182,953047,15325532,6304833,5650977,8488240,2459666,2357025,8465275,6705885,14363207,6267820,4037245,4453100,179389,16749028,3328052,1688928,3678124,1724389,289748,34800600
Special Purposes Equipment Manufacturing,23494736,2026483,412791,10239534,173106,625657,4565305,3086969,1665634,2957744,1037086,1053341,4832604,3471708,8479983,4985417,1821078,3889900,225032,15546649,1211602,802538,2499096,4062957,577806,18139700
Automobile Manufacturing,28418990,6308895,2383174,12270877,48389,1404846,8537628,10602028,4191025,5443398,3571679,931730,15304925,1756417,31705986,1679146,5590013,4033900,34550,13103668,18598469,1970488,3883351,4587154,290987,70679700
"Railway, Ship, Aerospace and Other Transportation Equipment Manufacturing ",4583491,1641773,89420,4214408,19356,398589,1599032,345601,105005,211185,1672410,358734,3211055,5505049,1892154,215836,1515911,4871100,135187,5629375,683418,7397,334194,1557432,1423133,902800
Electric Equipment and Machinery Manufacturing,37384794,13963878,1708422,40066022,1224778,12064241,19201583,26021371,8074143,15479933,13385649,1141680,18892396,10365674,29343446,5218977,2389055,8640100,1643986,37859490,10173161,2305063,15672312,7340515,173917,29033600
Computer Telecommunications and Other Electronic Equipment Manufacturing,127376123,4937232,300524,10930314,969549,4752404,31695888,30813550,2383237,17913521,4018996,702908,23185705,8253869,21416403,3710699,847920,3561800,1132807,33510885,1779599,1013321,5828074,3516805,47105,56975000
"Instruments, Meters Machinery",8657602,1902985,43843,3076646,17481,241466,5770068,854727,252228,1268747,483563,145489,5603039,2660694,4382660,626733,532047,586200,26202,2701933,778774,32399,497909,453307,27340,5025700
Other Manufacturing,403222,391044,88854,18132,67116,5839,317706,169364,118654,315687,409084,48684,78459,26601,557464,713067,199541,14600,389,126814,52934,12784,31597,69016,0,550000
