,321100,321200,321910,3219A0,327100,327200,327310,327320,327330,327390,327400,327910,327991,327992,327993,327999,331110,331200,331313,33131B,331410,331420,331490,331510,331520,332114,33211A,332119,332200,332310,332320,332410,332420,332430,332500,332600,332710,332720,332800,332913,33291A,332991,332996,33299A,332999,333111,333112,333120,333130,333242,33329A,333314,333316,333318,333414,333415,333413,333511,333514,333517,33351B,333611,333612,333613,333618,333912,333914,333920,333991,333993,333994,33399A,33399B,334111,334112,334118,334210,334220,334290,334413,334418,33441A,334510,334511,334512,334513,334514,334515,334516,334517,33451A,334300,334610,335110,335120,335210,335220,335311,335312,335313,335314,335911,335912,335920,335930,335991,335999,336111,336112,336120,336211,336212,336213,336214,336310,336320,336350,336360,336370,336390,3363A0,336411,336412,336413,336414,33641A,336500,336611,336612,336991,336992,336999,337110,337121,337122,337127,33712N,337215,33721A,337900,339112,339113,339114,339115,339116,339910,339920,339930,339940,339950,339990,311111,311119,311210,311221,311225,311224,311230,311300,311410,311420,311513,311514,31151A,311520,311615,31161A,311700,311810,3118A0,311910,311920,311930,311940,311990,312110,312120,312130,312140,312200,313100,313200,313300,314110,314120,314900,315000,316000,322110,322120,322130,322210,322220,322230,322291,322299,323110,323120,324110,324121,324122,324190,325110,325120,325130,325180,325190,325211,3252A0,325411,325412,325413,325414,325310,325320,325510,325520,325610,325620,325910,3259A0,326110,326120,326130,326140,326150,326160,326190,326210,326220,326290,total
321100,5222,2480,4371,4249,3,,,,1,11,0,,,,1,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,13,3,,,,,,,,,,,,,,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183,39,0,76,,,,2,,80,94,,,,,,,46,30,,3,,925,340,261,145,21,147,834,,,,,,,,136,20,81,70,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,704,1384,1956,,,,,,,,,,,,,23,,,138,,,,,,,,,,,,,,,,,,,,,140,,,,35953
321200,,2975,976,646,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,194,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,98,,,,658,,443,,,,1,,,,,60,,,,1157,300,116,171,90,144,1016,,,294,,,,,,,6,131,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,2,537,,,,23986
321910,1,31,1600,149,1,,,,1,1,0,,1,,0,0,2,,,,,0,1,1,,,,,0,,,,,,,2,,,,,1,,,,,,,,,,46,,,,,,,,,,,,,,150,,,,,,,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,2,94,,,,419,,382,48,,,,,,19,75,,,,,316,1,1,2,,,6,215,,,,,,,,,5,,2,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270,,,6,21939
3219A0,9,120,1189,698,10,69,13,,2,17,5,,,,24,8,6,,,,,71,143,3,82,,,,102,,,,,,,3,,,30,,,,,,,,,,,,11,,,5,,83,21,,,20,5,,,,175,,,,,,,,,,,,0,11,21,8,28,41,,24,,,,,,,,150,,,,,,,,,,,,429,,,,,,,,,,,,,,0,295,5,142,1,,0,,,,,,,,,174,,,,7,16,,45,16,,,,,,30,,5,,91,8,,,,,,,,,,,,,45,,,,,,,,,,,,,40,151,,,,,,46,,,0,29,343,261,8,,24,,,2,,,,,,,,,,2,,1,0,0,0,2,1,1,7,8,5,,2,16,,2,1,,,,161,,1,,25216
327100,,,,6,590,87,50,40,8,14,11,,62,,,1,353,63,,,125,6,,22,,,,,,10,,23,13,,,,6,,18,,,,,,3,,,,,,,,,,,1,,,,,,,,,44,,,,,,,,,,,7,,,,11,,,,,,,,,,,,,,,,,,15,2,39,1,,,,,,,0,7,,,,,,8,8,7,,,134,30,,,,,,,,,,,,,,,,,,,,,,6,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,2,,,,7,,,,,,,,,,,,,,,,,,,,98,,,,8352
327200,,,192,10,9,2302,20,146,21,31,8,,,,424,3,,12,,,,,,4,,,,,,,329,,,,3,,24,,,,,,,,12,,,,,,,108,,4,,,,,,,,,,,,,,,,,,,,,,,,,,73,3,23,,4,,18,3,14,41,,37,,,42,9,,,,,,,,,825,,,,1478,1117,187,175,1,11,52,33,31,24,,,370,119,,,,,,,196,79,,,,,9,48,1,18,33,67,,3,52,7,4,7,,,,,,,,,,,1,,,4,,116,53,101,22,,,,,,7,104,35,0,63,16,82,1565,639,455,,,31,,,,,,,,,,,,,,,,,,3,587,,,1,,4,15,62,,16,15,29,162,,1,,1,,107,,245,1,48,28,13,37,,520,,,,26227
327310,,,,,,,86,5052,425,480,20,,,9,2,573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,8070
327320,,,,,,,,339,65,368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,30655
327330,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,,,,6104
327390,,,,,1,,4,33,14,152,,,,,,80,,3,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,,,,,,,,,,,10,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,8,8,5,35,,121,27,,,,,,,,,,,,,,,,,,,,,,1,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506,,,,12480
