place_id,display_na,name,osm_id,community_GMC_id_8,community_Bicluster_id_8,community_Spectral_id_8,community_8_cut4
198756612,"Suzhou City, Jiangsu, China",Suzhou City,4430941,0,1,4,0
388586469,"Yangzhou City, Jiangsu, China",Yangzhou City,4430826,3,4,4,1
393651261,"Anqing, Anhui, China",Anqing,3220387,0,1,4,2
378567506,"Changzhou, Jiangsu, China",Changzhou,3429666,1,4,4,3
199372702,"Chizhou, Anhui, China",Chizhou,3164669,1,5,2,4
225378751,"Chuzhou, Anhui, China",Chuzhou,3231588,1,5,6,5
197536454,"Hangzhou City, Zhejiang, China",Hangzhou City,3221112,2,2,0,6
382922811,"Hefei, Anhui, China",Hefei,3288965,0,5,6,7
378239909,"Huzhou, Zhejiang, China",Huzhou,3149738,2,0,1,8
380828323,"Jiaxing, Zhejiang, China",Jiaxing,3308626,2,5,1,9
199020329,"Jinhua, Zhejiang, China",Jinhua,3411720,4,1,6,10
196947334,"Ma'anshan, Anhui, China",Ma'anshan,3260816,1,0,2,11
198941382,"Nanjing, Jiangsu, China",Nanjing,2131524,0,4,4,12
197160785,"Nantong, Jiangsu, China",Nantong,4430899,5,7,0,13
198076647,"Ningbo, Zhejiang, China",Ningbo,3478607,0,4,4,14
197842381,"Shaoxing, Zhejiang, China",Shaoxing,3316522,2,2,0,15
198337887,"Taizhou, Zhejiang, China",Taizhou,3477550,0,2,0,16
379986958,"Taizhou, Jiangsu, China",Taizhou,4430874,6,6,7,17
198173268,"Tongling, Anhui, China",Tongling,3077734,1,7,3,18
391115975,"Wuxi City, Jiangsu, China",Wuxi City,4430942,1,4,4,19
199287708,"Wuhu, Anhui, China",Wuhu,3262036,0,0,1,20
196981756,"Xuancheng, Anhui, China",Xuancheng,3222248,7,0,1,21
197542468,"Yancheng City, Jiangsu, China",Yancheng City,3473496,1,5,6,22
199229320,"Zhenjiang, Jiangsu, China",Zhenjiang,3429680,1,1,4,23
199023026,"Zhoushan, Zhejiang, China",Zhoushan,3308121,0,3,5,24
230670759,"Shanghai, China",Shanghai,913067,0,6,1,25
