city1,city2,city_distance,city1_num_nodes,city2_num_nodes,num_nodepair,city_distance_index
"Suzhou City, Jiangsu, China","Yangzhou City, Jiangsu, China",3285836495.8640037,9467,1841,15685.872299999999,209477.4477963845
"Suzhou City, Jiangsu, China","Anqing, Anhui, China",5457271308.057994,9467,1379,11749.493699999999,464468.635619422
"Suzhou City, Jiangsu, China","Changzhou, Jiangsu, China",7114937676.31007,9467,7074,60272.6022,118045.96809510358
"Suzhou City, Jiangsu, China","Chizhou, Anhui, China",2103818984.598998,9467,576,4907.6928,428677.80652427924
"Suzhou City, Jiangsu, China","Chuzhou, Anhui, China",6166427098.209024,9467,2300,19596.69,314666.7676127461
"Suzhou City, Jiangsu, China","Hangzhou City, Zhejiang, China",13087799418.15892,9467,8293,70658.8479,185225.20260564453
"Suzhou City, Jiangsu, China","Hefei, Anhui, China",20950879288.064034,9467,6424,54734.4072,382773.4757683469
"Suzhou City, Jiangsu, China","Huzhou, Zhejiang, China",2579162147.107005,9467,2131,18156.759299999998,142049.696451448
"Suzhou City, Jiangsu, China","Jiaxing, Zhejiang, China",3345584662.5219817,9467,3543,30187.422899999998,110827.10417529487
"Suzhou City, Jiangsu, China","Jinhua, Zhejiang, China",11111037413.355042,9467,4240,36126.07199999999,307562.84307231195
"Suzhou City, Jiangsu, China","Ma'anshan, Anhui, China",2039228985.7310002,9467,902,7685.3106,265341.1282728118
"Suzhou City, Jiangsu, China","Nanjing, Jiangsu, China",10822324527.796988,9467,5489,46767.926699999996,231404.83855994814
"Suzhou City, Jiangsu, China","Nantong, Jiangsu, China",5534706231.987925,9467,5358,45651.76739999999,121237.50179249195
"Suzhou City, Jiangsu, China","Ningbo, Zhejiang, China",14298205486.40525,9467,7395,63007.6185,226928.20053824526
"Suzhou City, Jiangsu, China","Shaoxing, Zhejiang, China",5040192729.92502,9467,2900,24708.87,203983.1335842157
"Suzhou City, Jiangsu, China","Taizhou, Zhejiang, China",11054883512.895018,9467,3654,31133.176199999998,355083.70369532093
"Suzhou City, Jiangsu, China","Taizhou, Jiangsu, China",4121403435.874045,9467,3040,25901.712,159117.0280896508
"Suzhou City, Jiangsu, China","Tongling, Anhui, China",1791951129.9449978,9467,628,5350.7483999999995,334897.28837651905
"Suzhou City, Jiangsu, China","Wuxi City, Jiangsu, China",3908552710.435995,9467,6174,52604.3322,74300.96623175069
"Suzhou City, Jiangsu, China","Wuhu, Anhui, China",4195824889.8660045,9467,1722,14671.956599999998,285975.8247830426
"Suzhou City, Jiangsu, China","Xuancheng, Anhui, China",2969722757.3129873,9467,1262,10752.6186,276186.0034087871
"Suzhou City, Jiangsu, China","Yancheng City, Jiangsu, China",9247803005.91798,9467,3853,32828.715899999996,281698.5907730245
"Suzhou City, Jiangsu, China","Zhenjiang, Jiangsu, China",3014972980.346986,9467,2109,17969.3127,167784.54639208244
"Suzhou City, Jiangsu, China","Zhoushan, Zhejiang, China",1259778171.0990016,9467,593,5052.537899999999,249335.71920341297
"Suzhou City, Jiangsu, China","Shanghai, China",7727223664.4800625,9467,10079,85876.10369999999,89981.06960551429
"Yangzhou City, Jiangsu, China","Anqing, Anhui, China",939984451.3619994,1841,1379,2284.8650999999995,411396.0388129696
"Yangzhou City, Jiangsu, China","Changzhou, Jiangsu, China",1511219327.8990035,1841,7074,11720.9106,128933.61100280072
"Yangzhou City, Jiangsu, China","Chizhou, Anhui, China",342782589.53999984,1841,576,954.3744,359169.93324632326
"Yangzhou City, Jiangsu, China","Chuzhou, Anhui, China",645767144.0829978,1841,2300,3810.87,169453.99451647466
"Yangzhou City, Jiangsu, China","Hangzhou City, Zhejiang, China",4472112591.52301,1841,8293,13740.671699999999,325465.35490859667
"Yangzhou City, Jiangsu, China","Hefei, Anhui, China",2786144096.633004,1841,6424,10643.925599999999,261759.0728587021
"Yangzhou City, Jiangsu, China","Huzhou, Zhejiang, China",848704117.9860008,1841,2131,3530.8538999999996,240367.95121599364
"Yangzhou City, Jiangsu, China","Jiaxing, Zhejiang, China",1701268532.7139993,1841,3543,5870.396699999999,289804.69628466497
"Yangzhou City, Jiangsu, China","Jinhua, Zhejiang, China",3122789293.865012,1841,4240,7025.255999999999,444508.9679102103
"Yangzhou City, Jiangsu, China","Ma'anshan, Anhui, China",267834162.6490001,1841,902,1494.5238,179210.36965018563
"Yangzhou City, Jiangsu, China","Nanjing, Jiangsu, China",1082854877.536999,1841,5489,9094.7241,119064.07117253827
"Yangzhou City, Jiangsu, China","Nantong, Jiangsu, China",1633816358.6149964,1841,5358,8877.670199999999,184036.61341406856
"Yangzhou City, Jiangsu, China","Ningbo, Zhejiang, China",5029044907.289012,1841,7395,12252.7755,410441.2838780089
"Yangzhou City, Jiangsu, China","Shaoxing, Zhejiang, China",1802818246.939998,1841,2900,4805.009999999999,375195.52445052104
"Yangzhou City, Jiangsu, China","Taizhou, Zhejiang, China",3304203168.9100056,1841,3654,6054.312599999999,545760.251776561
"Yangzhou City, Jiangsu, China","Taizhou, Jiangsu, China",428695533.96100056,1841,3040,5036.976,85109.70351278239
"Yangzhou City, Jiangsu, China","Tongling, Anhui, China",311406651.85600007,1841,628,1040.5331999999999,299276.03641671414
"Yangzhou City, Jiangsu, China","Wuxi City, Jiangsu, China",1638239276.5079987,1841,6174,10229.7006,160145.37869348773
"Yangzhou City, Jiangsu, China","Wuhu, Anhui, China",650663649.0380003,1841,1722,2853.1818,228048.4366744525
"Yangzhou City, Jiangsu, China","Xuancheng, Anhui, China",508818048.31200093,1841,1262,2091.0078,243336.27464804339
"Yangzhou City, Jiangsu, China","Yancheng City, Jiangsu, China",1049569667.0449983,1841,3853,6384.035699999999,164405.35679413547
"Yangzhou City, Jiangsu, China","Zhenjiang, Jiangsu, China",342179365.426001,1841,2109,3494.4021,97922.14966503168
"Yangzhou City, Jiangsu, China","Zhoushan, Zhejiang, China",425459882.24200034,1841,593,982.5416999999999,433019.669538708
"Yangzhou City, Jiangsu, China","Shanghai, China",4763855078.690004,1841,10079,16699.895099999998,285262.5750140194
"Anqing, Anhui, China","Changzhou, Jiangsu, China",3334930834.388991,1379,7074,8779.5414,379852.50965261017
"Anqing, Anhui, China","Chizhou, Anhui, China",81940274.49099998,1379,576,714.8736,114622.0457588586
"Anqing, Anhui, China","Chuzhou, Anhui, China",951420480.3939997,1379,2300,2854.5299999999997,333301.9727920182
"Anqing, Anhui, China","Hangzhou City, Zhejiang, China",4656906903.061003,1379,8293,10292.442299999999,452458.8787892455
"Anqing, Anhui, China","Hefei, Anhui, China",1960332937.8779902,1379,6424,7972.826399999999,245876.78691686934
"Anqing, Anhui, China","Huzhou, Zhejiang, China",1030093947.112001,1379,2131,2644.7841,389481.2991018817
"Anqing, Anhui, China","Jiaxing, Zhejiang, China",2081972533.0299973,1379,3543,4397.217299999999,473475.01635409234
