city1,city2,city_distance,num_nodepair,city1_num_nodes,city2_num_nodes,city_distance_index
"Chizhou, Anhui, China","Xuancheng, Anhui, China",460008987.05899966,1817.28,576,1262,253130.4956082715
"Anqing, Anhui, China","Hefei, Anhui, China",5112827309.210008,22146.740000000005,1379,6424,230861.39581762403
"Shanghai, China","Zhoushan, Zhejiang, China",3292860749.2420087,14942.117500000002,10079,593,220374.43817732047
"Wuxi City, Jiangsu, China","Xuancheng, Anhui, China",4172715492.285997,19478.970000000005,6174,1262,214216.43404584512
"Hangzhou City, Zhejiang, China","Xuancheng, Anhui, China",5532831462.42601,26164.415000000005,8293,1262,211463.98505091778
"Jinhua, Zhejiang, China","Taizhou, Zhejiang, China",7730027848.495004,38732.4,4240,3654,199575.23542292765
"Nantong, Jiangsu, China","Yancheng City, Jiangsu, China",10267736407.663021,51610.935000000005,5358,3853,198944.97954092518
"Shaoxing, Zhejiang, China","Taizhou, Zhejiang, China",5217289792.689973,26491.500000000004,2900,3654,196942.0301866626
"Jiaxing, Zhejiang, China","Zhoushan, Zhejiang, China",1022765904.776,5252.4975,3543,593,194719.922241943
"Changzhou, Jiangsu, China","Xuancheng, Anhui, China",4213675223.5960007,22318.470000000005,7074,1262,188797.67401600556
"Nanjing, Jiangsu, China","Xuancheng, Anhui, China",3148692327.631003,17317.795,5489,1262,181818.31622507388
"Ningbo, Zhejiang, China","Taizhou, Zhejiang, China",11765123931.30106,67553.32500000001,7395,3654,174160.54548463837
"Anqing, Anhui, China","Tongling, Anhui, China",369800810.40800023,2165.03,1379,628,170806.32157891584
"Huzhou, Zhejiang, China","Xuancheng, Anhui, China",1144095955.134002,6723.305000000001,2131,1262,170168.6826841861
"Hefei, Anhui, China","Tongling, Anhui, China",1714290711.5330043,10085.680000000002,6424,628,169972.74467690865
"Yancheng City, Jiangsu, China","Yangzhou City, Jiangsu, China",2933623206.653005,17733.432500000003,3853,1841,165428.95497828774
"Chizhou, Anhui, China","Wuhu, Anhui, China",407730675.79200006,2479.6800000000003,576,1722,164428.7471738289
"Chuzhou, Anhui, China","Yangzhou City, Jiangsu, China",1734899281.7570026,10585.750000000002,2300,1841,163890.06747344328
"Ma'anshan, Anhui, China","Xuancheng, Anhui, China",452568090.92399955,2845.81,902,1262,159029.6228223246
"Nantong, Jiangsu, China","Shanghai, China",21267011996.410885,135008.20500000002,5358,10079,157523.84824619276
"Suzhou City, Jiangsu, China","Taizhou, Jiangsu, China",11204357803.777088,71949.2,9467,3040,155725.95391994753
"Jiaxing, Zhejiang, China","Ningbo, Zhejiang, China",10142480903.030909,65501.2125,3543,7395,154844.17029731942
"Taizhou, Jiangsu, China","Yancheng City, Jiangsu, China",4521059262.702997,29282.8,3040,3853,154392.99734666757
"Chuzhou, Anhui, China","Hefei, Anhui, China",5680181315.865979,36938.00000000001,2300,6424,153776.09280053002
"Hangzhou City, Zhejiang, China","Jinhua, Zhejiang, China",13280196805.971827,87905.8,8293,4240,151073.0441674136
"Hefei, Anhui, China","Ma'anshan, Anhui, China",2159002786.5009995,14486.120000000003,6424,902,149039.4105875831
"Wuhu, Anhui, China","Xuancheng, Anhui, China",791527254.6690022,5432.910000000001,1722,1262,145691.21422386935
"Huzhou, Zhejiang, China","Suzhou City, Jiangsu, China",7129486705.257962,50435.442500000005,2131,9467,141358.66271537048
"Huzhou, Zhejiang, China","Wuxi City, Jiangsu, China",4614171973.059027,32891.98500000001,2131,6174,140282.5634591231
"Hefei, Anhui, China","Wuhu, Anhui, China",3855643524.244045,27655.320000000007,6424,1722,139417.78740018353
"Chuzhou, Anhui, China","Ma'anshan, Anhui, China",683966262.4380009,5186.5,2300,902,131874.33961978232
"Anqing, Anhui, China","Chizhou, Anhui, China",260186226.0720001,1985.7600000000002,1379,576,131026.01828619775
"Jinhua, Zhejiang, China","Shaoxing, Zhejiang, China",3930310416.8100433,30740.0,4240,2900,127856.55227098384
"Changzhou, Jiangsu, China","Nanjing, Jiangsu, China",11967305438.85999,97072.96500000001,7074,5489,123281.5484605831
"Ningbo, Zhejiang, China","Shaoxing, Zhejiang, China",6517702077.229044,53613.75,7395,2900,121567.73359873249
"Nantong, Jiangsu, China","Taizhou, Jiangsu, China",4943098178.156008,40720.8,5358,3040,121390.00653611931
"Nanjing, Jiangsu, China","Yangzhou City, Jiangsu, China",3053586877.687039,25263.1225,5489,1841,120871.31658752947
"Nantong, Jiangsu, China","Suzhou City, Jiangsu, China",14951297482.260862,126810.46500000003,5358,9467,117902.71001893148
"Taizhou, Jiangsu, China","Wuxi City, Jiangsu, China",5471161426.881935,46922.40000000001,3040,6174,116600.20431354607
"Chizhou, Anhui, China","Tongling, Anhui, China",104581017.71999994,904.32,576,628,115646.02985668782
"Changzhou, Jiangsu, China","Taizhou, Jiangsu, China",6125810265.067996,53762.40000000001,7074,3040,113942.27685274457
"Jiaxing, Zhejiang, China","Suzhou City, Jiangsu, China",9452901756.742952,83853.95250000001,3543,9467,112730.54489283556
"Chuzhou, Anhui, China","Nanjing, Jiangsu, China",3554854254.1409955,31561.75,2300,5489,112631.7220731105
"Jiaxing, Zhejiang, China","Shanghai, China",10038766077.19393,89274.74250000001,3543,10079,112447.99812437352
"Jiaxing, Zhejiang, China","Shaoxing, Zhejiang, China",2873451471.9089885,25686.75,3543,2900,111865.12392221625
"Ningbo, Zhejiang, China","Zhoushan, Zhejiang, China",1178224654.886005,10963.087500000001,7395,593,107471.97401151863
"Taizhou, Jiangsu, China","Zhenjiang, Jiangsu, China",1624801001.7120042,16028.4,3040,2109,101370.13062514063
"Huzhou, Zhejiang, China","Jiaxing, Zhejiang, China",1863323991.9109988,18875.332500000004,2131,3543,98717.412893839
"Hangzhou City, Zhejiang, China","Jiaxing, Zhejiang, China",7161118003.150008,73455.24750000001,8293,3543,97489.53610359841
"Hangzhou City, Zhejiang, China","Huzhou, Zhejiang, China",4289871972.88097,44180.95750000001,8293,2131,97097.75920725505
"Shanghai, China","Suzhou City, Jiangsu, China",22734761496.680054,238544.73250000004,10079,9467,95306.07219205752
"Tongling, Anhui, China","Wuhu, Anhui, China",255428443.26200047,2703.5400000000004,628,1722,94479.25433394751
"Hangzhou City, Zhejiang, China","Shaoxing, Zhejiang, China",5565895696.471971,60124.25000000001,8293,2900,92573.22455534946
"Yangzhou City, Jiangsu, China","Zhenjiang, Jiangsu, China",887212365.1870011,9706.6725,1841,2109,91402.3178578448
"Taizhou, Jiangsu, China","Yangzhou City, Jiangsu, China",1197462146.2920034,13991.600000000002,3040,1841,85584.36106606844
"Nanjing, Jiangsu, China","Zhenjiang, Jiangsu, China",2474022349.4540143,28940.7525,5489,2109,85485.76438895341
"Ma'anshan, Anhui, China","Nanjing, Jiangsu, China",1005227228.0529978,12377.695,902,5489,81212.79673259018
"Suzhou City, Jiangsu, China","Wuxi City, Jiangsu, China",11574729654.850077,146123.14500000002,9467,6174,79212.15803868767
