,year,cut_num,alpha,partition
0,2013,3,0.3,"{1: 286, 26: 214}"
1,2013,3,0.4,"{1: 286, 26: 214}"
2,2013,3,0.5,"{1: 286, 26: 214}"
3,2013,3,0.6000000000000001,"{1: 286, 26: 214}"
4,2013,3,0.7000000000000002,"{1: 286, 26: 214}"
5,2013,4,0.3,"{1: 286, 26: 214}"
6,2013,4,0.4,"{1: 286, 26: 214}"
7,2013,4,0.5,"{1: 286, 26: 214}"
8,2013,4,0.6000000000000001,"{1: 286, 26: 214}"
9,2013,4,0.7000000000000002,"{1: 286, 26: 214}"
10,2013,5,0.3,"{1: 286, 26: 214}"
11,2013,5,0.4,"{1: 286, 26: 214}"
12,2013,5,0.5,"{1: 286, 26: 214}"
13,2013,5,0.6000000000000001,"{1: 286, 26: 214}"
14,2013,5,0.7000000000000002,"{1: 286, 26: 214}"
15,2013,6,0.3,"{1: 286, 26: 214}"
16,2013,6,0.4,"{1: 286, 26: 214}"
17,2013,6,0.5,"{1: 286, 26: 214}"
18,2013,6,0.6000000000000001,"{1: 286, 26: 214}"
19,2013,6,0.7000000000000002,"{1: 286, 26: 214}"
20,2013,7,0.3,"{1: 286, 26: 214}"
21,2013,7,0.4,"{1: 286, 26: 214}"
22,2013,7,0.5,"{1: 286, 26: 214}"
23,2013,7,0.6000000000000001,"{1: 286, 26: 214}"
24,2013,7,0.7000000000000002,"{1: 286, 26: 214}"
25,2013,8,0.3,"{1: 286, 26: 214}"
26,2013,8,0.4,"{1: 286, 26: 214}"
27,2013,8,0.5,"{1: 286, 26: 214}"
28,2013,8,0.6000000000000001,"{1: 286, 26: 214}"
29,2013,8,0.7000000000000002,"{1: 286, 26: 214}"
30,2014,3,0.3,"{1: 286, 26: 214}"
31,2014,3,0.4,"{1: 286, 26: 214}"
32,2014,3,0.5,"{1: 286, 26: 214}"
33,2014,3,0.6000000000000001,"{1: 286, 26: 214}"
34,2014,3,0.7000000000000002,"{1: 286, 26: 214}"
35,2014,4,0.3,"{1: 286, 26: 214}"
36,2014,4,0.4,"{1: 286, 26: 214}"
37,2014,4,0.5,"{1: 286, 26: 214}"
38,2014,4,0.6000000000000001,"{1: 286, 26: 214}"
39,2014,4,0.7000000000000002,"{1: 286, 26: 214}"
40,2014,5,0.3,"{1: 286, 26: 214}"
41,2014,5,0.4,"{1: 286, 26: 214}"
42,2014,5,0.5,"{1: 286, 26: 214}"
43,2014,5,0.6000000000000001,"{1: 286, 26: 214}"
44,2014,5,0.7000000000000002,"{1: 286, 26: 214}"
45,2014,6,0.3,"{1: 286, 26: 214}"
46,2014,6,0.4,"{1: 286, 26: 214}"
47,2014,6,0.5,"{1: 286, 26: 214}"
48,2014,6,0.6000000000000001,"{1: 286, 26: 214}"
49,2014,6,0.7000000000000002,"{1: 286, 26: 214}"
50,2014,7,0.3,"{1: 286, 26: 214}"
51,2014,7,0.4,"{1: 286, 26: 214}"
52,2014,7,0.5,"{1: 286, 26: 214}"
53,2014,7,0.6000000000000001,"{1: 286, 26: 214}"
54,2014,7,0.7000000000000002,"{1: 286, 26: 214}"
55,2014,8,0.3,"{1: 286, 26: 214}"
56,2014,8,0.4,"{1: 286, 26: 214}"
57,2014,8,0.5,"{1: 286, 26: 214}"
58,2014,8,0.6000000000000001,"{1: 286, 26: 214}"
59,2014,8,0.7000000000000002,"{1: 286, 26: 214}"
60,2015,3,0.3,"{1: 286, 26: 214}"
61,2015,3,0.4,"{1: 286, 26: 214}"
62,2015,3,0.5,"{1: 286, 26: 214}"
63,2015,3,0.6000000000000001,"{1: 286, 26: 214}"
64,2015,3,0.7000000000000002,"{1: 286, 26: 214}"
65,2015,4,0.3,"{1: 286, 26: 214}"
66,2015,4,0.4,"{1: 286, 26: 214}"
67,2015,4,0.5,"{1: 286, 26: 214}"
68,2015,4,0.6000000000000001,"{1: 286, 26: 214}"
69,2015,4,0.7000000000000002,"{1: 286, 26: 214}"
70,2015,5,0.3,"{1: 286, 26: 214}"
71,2015,5,0.4,"{1: 286, 26: 214}"
72,2015,5,0.5,"{1: 286, 26: 214}"
73,2015,5,0.6000000000000001,"{1: 286, 26: 214}"
74,2015,5,0.7000000000000002,"{1: 286, 26: 214}"
75,2015,6,0.3,"{1: 286, 26: 214}"
76,2015,6,0.4,"{1: 286, 26: 214}"
77,2015,6,0.5,"{1: 286, 26: 214}"
78,2015,6,0.6000000000000001,"{1: 286, 26: 214}"
79,2015,6,0.7000000000000002,"{1: 286, 26: 214}"
80,2015,7,0.3,"{1: 286, 26: 214}"
81,2015,7,0.4,"{1: 286, 26: 214}"
82,2015,7,0.5,"{1: 286, 26: 214}"
83,2015,7,0.6000000000000001,"{1: 286, 26: 214}"
84,2015,7,0.7000000000000002,"{1: 286, 26: 214}"
85,2015,8,0.3,"{1: 286, 26: 214}"
86,2015,8,0.4,"{1: 286, 26: 214}"
87,2015,8,0.5,"{1: 286, 26: 214}"
88,2015,8,0.6000000000000001,"{1: 286, 26: 214}"
89,2015,8,0.7000000000000002,"{1: 286, 26: 214}"
90,2016,3,0.3,"{1: 286, 26: 214}"
91,2016,3,0.4,"{1: 286, 26: 214}"
92,2016,3,0.5,"{1: 286, 26: 214}"
93,2016,3,0.6000000000000001,"{1: 286, 26: 214}"
94,2016,3,0.7000000000000002,"{1: 286, 26: 214}"
95,2016,4,0.3,"{1: 286, 26: 214}"
96,2016,4,0.4,"{1: 286, 26: 214}"
97,2016,4,0.5,"{1: 286, 26: 214}"
98,2016,4,0.6000000000000001,"{1: 286, 26: 214}"
99,2016,4,0.7000000000000002,"{1: 286, 26: 214}"
100,2016,5,0.3,"{1: 286, 26: 214}"
101,2016,5,0.4,"{1: 286, 26: 214}"
102,2016,5,0.5,"{1: 286, 26: 214}"
103,2016,5,0.6000000000000001,"{1: 286, 26: 214}"
104,2016,5,0.7000000000000002,"{1: 286, 26: 214}"
105,2016,6,0.3,"{1: 286, 26: 214}"
106,2016,6,0.4,"{1: 286, 26: 214}"
107,2016,6,0.5,"{1: 286, 26: 214}"
108,2016,6,0.6000000000000001,"{1: 286, 26: 214}"
109,2016,6,0.7000000000000002,"{1: 286, 26: 214}"
110,2016,7,0.3,"{1: 286, 26: 214}"
111,2016,7,0.4,"{1: 286, 26: 214}"
112,2016,7,0.5,"{1: 286, 26: 214}"
113,2016,7,0.6000000000000001,"{1: 286, 26: 214}"
114,2016,7,0.7000000000000002,"{1: 286, 26: 214}"
115,2016,8,0.3,"{1: 286, 26: 214}"
116,2016,8,0.4,"{1: 286, 26: 214}"
117,2016,8,0.5,"{1: 286, 26: 214}"
118,2016,8,0.6000000000000001,"{1: 286, 26: 214}"
